# 2024-12-02 全池(1168 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2348 海悅|其他|387 142 -12|50 50 -27 -24|1.3 264|7 -7 0 65 100
2349 錸德|光電業|-27 -18 -15|75 75 -10 64|0.7 359|10 -0 0 na na
2351 順德|半導體業|-2 1 4|60 60 -26 -31|0.8 232|16 -12 -6 49 52
2352 佳世達|電腦及週|6 2 5|79 96 -1 -3|0.6 110|10 19 3 2 -12
2353 宏碁|電腦及週|-3 -1 -12|68 79 -12 -21|0.8 483|23 -15 -1 4 6
2354 鴻準|其他電子|22 -4 29|82 82 18 15|0.8 8953|22 3 -0 -38 -46
2355 敬鵬|電子零組|-3 -6 -6|70 76 -10 -15|0.6 37|16 -4 -0 -4 7
2356 英業達|電腦及週|60 30 12|80 83 8 -9|0.8 2067|14 -2 3 -6 15
2357 華碩|電腦及週|19 21 6|97 97 8 23|1.3 4291|50 -14 16 -12 39
2359 所羅門|其他電子|-3 -4 11|76 78 -12 -16|1.1 339|3 -1 0 -4 13
2360 致茂|其他電子|0 6 -5|93 93 29 59|0.5 1204|62 3 -0 -42 -13
2362 藍天|電腦及週|11 7 -7|84 84 -4 -1|0.4 95|10 5 0 -8 -17
2363 矽統|半導體業|1010 417 298|66 75 1 -20|0.2 476|6 1 0 -5 -6
2364 倫飛|電腦及週|22 39 20|60 64 -12 -4|0.2 16|18 5 0 -2 -18
2365 昆盈|電腦及週|10 21 -11|65 65 -26 31|0.6 205|3 1 0 -3 14
2367 燿華|電子零組|18 20 1|74 74 -17 -15|1.0 142|10 1 0 7 -3
2368 金像電|電子零組|4 17 -11|70 84 -8 -2|0.8 902|14 -7 -1 9 18
2369 菱生|半導體業|-16 -12 -12|63 73 -11 -24|0.4 26|13 -7 0 -6 13
2371 大同|電機機械|1 4 -2|69 79 5 -12|1.5 484|9 2 0 13 -26
2374 佳能|光電業|17 9 -14|76 76 -6 -23|0.6 110|4 -2 -0 0 3
2375 凱美|電子零組|9 10 2|96 100 5 5|6.1 11|8 -7 0 49 11
2376 技嘉|電腦及週|54 75 -33|74 88 7 -12|0.7 2582|16 -1 7 -6 -12
2377 微星|電腦及週|5 4 -6|87 91 -6 -5|0.5 538|23 -6 -0 -10 -7
2379 瑞昱|半導體業|14 13 -5|84 87 -6 -3|0.7 1017|50 -30 26 2 51
2382 廣達|電腦及週|49 50 30|86 86 10 6|0.6 8089|26 -10 -3 5 23
2383 台光電|電子零組|34 39 -20|95 100 7 19|1.1 2143|27 8 2 -24 -10
2385 群光|電子零組|13 10 9|63 81 -4 -18|0.7 417|29 -26 4 7 20
2387 精元|電腦及週|2 6 1|97 99 8 5|1.0 79|20 13 3 -30 -30
2388 威盛|半導體業|60 99 60|58 73 -21 -12|0.4 624|8 -5 0 -10 8
2392 正崴|電子零組|23 5 -5|86 86 11 12|3.2 2054|9 2 0 17 18
2393 億光|光電業|17 18 1|92 92 -5 13|0.6 223|28 -19 16 -11 41
2395 研華|電腦及週|8 1 11|87 93 -0 -1|0.8 400|39 -15 2 2 -44
2397 友通|電腦及週|40 -9 27|82 82 -5 -10|0.3 26|24 6 0 -12 -26
2399 映泰|電腦及週|-47 -29 -21|66 66 25 31|0.1 255|10 -2 0 -10 -4
