# 2024-03-01 全池(1192 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
2230 泰茂|居家生活|326 156 96|99 99 14 38|1.1 137|6 -3 0 -1 56|PB位99 PE位88 殖0.8|益10.8→15.3
2231 為升|汽車工業|16 -3 -19|71 88 -6 -7|1.3 24|6 -3 -0 1 4|PB位1 PE位4 殖2.2|益15.7→14.6
2233 宇隆|汽車工業|44 26 20|93 93 -3 38|1.3 45|17 10 -1 -32 1|PB位84 PE位86 殖4.3|益12.4→15.5
2236 百達-KY|汽車工業|12 10 -19|84 84 -7 9|1.3 37|65 3 0 -6 145|PB位87 PE位74 殖0.4|益na→6.6
2241 艾姆勒|汽車工業|19 43 8|71 71 -6 -19|1.2 19|18 -2 0 3 19|PB位30 PE位na 殖0.0|益-32.4→-26.1
2243 宏旭-KY|汽車工業|-72 41 15|68 80 -4 14|0.2 6|27 1 0 -9 -3|PB位58 PE位na 殖0.0|益na→-4.5
2247 汎德永業|汽車工業|44 10 -14|87 95 -2 -1|1.2 14|5 -1 -0 17 -10|PB位78 PE位47 殖5.0|益4.3→4.2
2250 IKKA-KY|汽車工業|36 21 15|100 100 18 43|1.5 11|9 6 0 8 64|PB位69 PE位72 殖3.1|益1.3→3.8
2254 巨鎧精密-創|汽車工業|75 4 na|na na -6 na|1.4 9|25 5 0 na na|PB位18 PE位na 殖3.1|益na→-3.0
2258 鴻華先進-創|汽車工業|516 645 na|na na -6 na|1.2 35|0 7 0 na na|PB位2 PE位na 殖0.0|益na→-282.6
