# 2023-05 月末(2023-05-31)全池量化快照(1109 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
2891 中信金|金融保險|-27 -45 1|95 99 8 8|1.1 571
2892 第一金|金融保險|-0 8 -5|100 100 7 10|1.6 370
2897 王道銀行|金融保險|20 18 -21|100 100 6 22|0.6 43
2903 遠百|貿易百貨|12 2 -6|99 99 7 24|0.9 46
2906 高林|貿易百貨|-5 -4 -11|80 81 -11 -8|0.8 8
2908 特力|貿易百貨|-7 -9 3|96 100 3 6|1.4 6
2912 統一超|貿易百貨|7 10 -3|96 96 5 6|2.3 353
2913 農林|貿易百貨|3 5 -3|90 90 1 0|0.6 119
2915 潤泰全|貿易百貨|-20 14 9|73 80 -14 -12|0.6 106
2916 滿心|居家生活|52 18 -55|97 97 29 90|0.8 19
3003 健和興|電子零組|-11 -6 -2|94 97 14 15|1.3 95
3004 豐達科|鋼鐵工業|90 79 11|83 83 13 50|0.7 148
3005 神基|電腦及週|108 45 21|100 100 42 81|0.8 453
